============================================================
  Scraper OAB - JurisWay  (IDs verificados, encoding iso-8859-1)
============================================================

-------------------------------------------------------
  OAB-XXI  (id_prova=642)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=A | media
  [14/80] Direito Constitucional       correta=D | facil
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=D | facil
  [17/80] Direito Constitucional       correta=A | media
  [18/80] Direitos Humanos             correta=C | facil
  [19/80] Direitos Humanos             correta=D | facil
  [20/80] Direito Internacional        correta=B | media
  [21/80] Direito Internacional        correta=C | media
  [22/80] Questo 22 - Direito Tributri correta=D | facil
  [23/80] Questo 23 - Direito Tributri correta=A | media
  [24/80] Questo 24 - Direito Tributri correta=A | facil
  [25/80] Questo 25 - Direito Tributri correta=C | facil
  [26/80] Questo 26 - Direito Tributri correta=B | media
  [27/80] Direito Administrativo       correta=C | media
  [28/80] Direito Administrativo       correta=A | media
  [29/80] Direito Administrativo       correta=A | media
  [30/80] Direito Administrativo       correta=D | facil
  [31/80] Direito Administrativo       correta=A | media
  [32/80] Direito Administrativo       correta=C | facil
  [33/80] Direito Ambiental            correta=C | media
  [34/80] Direito Ambiental            correta=D | media
  [35/80] Direito Civil                correta=B | dificil
  [36/80] Direito Civil                correta=C | facil
  [37/80] Direito Civil                correta=A | media
  [38/80] Direito Civil                correta=A | facil
  [39/80] Direito Civil                correta=B | media
  [40/80] Direito Civil                correta=D | facil
  [41/80] Direito Civil                correta=C | facil
  [42/80] Questo 42 - Estatuto da Cria correta=D | facil
  [43/80] Questo 43 - Estatuto da Cria correta=B | media
  [44/80] Direito do Consumidor        correta=D | facil
  [45/80] Direito do Consumidor        correta=B | media
  [46/80] Direito Empresarial          correta=A | media
  [47/80] Direito Empresarial          correta=B | dificil
  [48/80] Direito Empresarial          correta=C | dificil
  [49/80] Direito Empresarial          correta=B | media
  [50/80] Direito Empresarial          correta=C | dificil
  [51/80] Direito Processual Civil     correta=C | media
  [52/80] Direito Processual Civil     correta=A | media
  [53/80] Direito Processual Civil     correta=B | facil
  [54/80] Direito Processual Civil     correta=B | media
  [55/80] Direito Processual Civil     correta=D | facil
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Processual Civil     correta=A | media
  [58/80] Direito Penal                correta=C | dificil
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=D | dificil
  [61/80] Direito Penal                correta=A | facil
  [62/80] Direito Penal                correta=C | media
  [63/80] Direito Penal                correta=B | media
  [64/80] Direito Processual Penal     correta=B | media
  [65/80] Direito Processual Penal     correta=A | media
  [66/80] Direito Processual Penal     correta=D | media
  [67/80] Direito Processual Penal     correta=A | dificil
  [68/80] Direito Processual Penal     correta=C | media
  [69/80] Direito Processual Penal     correta=B | facil
  [70/80] Direito do Trabalho          correta=D | media
  [71/80] Direito do Trabalho          correta=C | media
  [72/80] Direito do Trabalho          correta=C | facil
  [73/80] Direito do Trabalho          correta=B | facil
  [74/80] Direito do Trabalho          correta=A | media
  [75/80] Direito do Trabalho          correta=D | media
  [76/80] Direito Processual do Trabal correta=A | media
  [77/80] Direito Processual do Trabal correta=D | media
  [78/80] Direito Processual do Trabal correta=A | media
  [79/80] Direito Processual do Trabal correta=C | facil
  [80/80] Direito Processual do Trabal correta=B | media

-------------------------------------------------------
  OAB-XXIX  (id_prova=658)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | facil
  [ 2/80] Etica Profissional           correta=B | facil
  [ 3/80] Etica Profissional           correta=B | media
  [ 4/80] Etica Profissional           correta=C | media
  [ 5/80] Etica Profissional           correta=A | media
  [ 6/80] Etica Profissional           correta=D | media
  [ 7/80] Etica Profissional           correta=B | media
  [ 8/80] Etica Profissional           correta=B | media
  [ 9/80] Filosofia do Direito         correta=C | dificil
  [10/80] Filosofia do Direito         correta=A | dificil
  [11/80] Direito Constitucional       correta=D | facil
  [12/80] Direito Constitucional       correta=C | media
  [13/80] Direito Constitucional       correta=A | facil
  [14/80] Direito Constitucional       correta=C | facil
  [15/80] Direito Constitucional       correta=B | media
  [16/80] Direito Constitucional       correta=D | media
  [17/80] Direito Constitucional       correta=D | facil
  [18/80] Direitos Humanos             correta=B | facil
  [19/80] Direitos Humanos             correta=D | facil
  [20/80] Direito Internacional        [sem gabarito] | media
  [21/80] Direito Internacional        correta=B | dificil
  [22/80] Questo 22 - Direito Tributri correta=B | media
  [23/80] Questo 23 - Direito Tributri correta=C | dificil
  [24/80] Questo 24 - Direito Tributri correta=B | media
  [25/80] Questo 25 - Direito Tributri correta=B | media
  [26/80] Questo 26 - Direito Tributri correta=C | media
  [27/80] Direito Administrativo       correta=A | facil
  [28/80] Direito Administrativo       correta=B | facil
  [29/80] Direito Administrativo       correta=C | dificil
  [30/80] Direito Administrativo       correta=A | media
  [31/80] Direito Administrativo       correta=C | dificil
  [32/80] Direito Administrativo       correta=B | facil
  [33/80] Direito Ambiental            correta=B | facil
  [34/80] Direito Ambiental            [sem gabarito] | media
  [35/80] Direito Civil                correta=A | dificil
  [36/80] Direito Civil                correta=A | media
  [37/80] Direito Civil                correta=D | media
  [38/80] Direito Civil                correta=B | facil
  [39/80] Direito Civil                correta=C | media
  [40/80] Direito Civil                correta=C | dificil
  [41/80] Direito Civil                correta=D | media
  [42/80] Questo 42 - Estatuto da Cria correta=A | media
  [43/80] Questo 43 - Estatuto da Cria correta=B | media
  [44/80] Direito do Consumidor        correta=A | facil
  [45/80] Direito do Consumidor        correta=C | media
  [46/80] Direito Empresarial          correta=B | media
  [47/80] Direito Empresarial          correta=C | media
  [48/80] Direito Empresarial          correta=A | dificil
  [49/80] Direito Empresarial          correta=D | media
  [50/80] Direito Empresarial          correta=B | dificil
  [51/80] Direito Processual Civil     correta=C | media
  [52/80] Direito Processual Civil     correta=B | facil
  [53/80] Direito Processual Civil     correta=D | media
  [54/80] Direito Processual Civil     correta=D | media
  [55/80] Direito Processual Civil     correta=B | facil
  [56/80] Direito Processual Civil     correta=C | dificil
  [57/80] Direito Processual Civil     correta=B | media
  [58/80] Direito Penal                correta=A | media
  [59/80] Direito Penal                correta=C | media
  [60/80] Direito Penal                correta=D | facil
  [61/80] Direito Penal                correta=D | media
  [62/80] Direito Penal                correta=D | facil
  [63/80] Direito Penal                correta=D | dificil
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=D | dificil
  [66/80] Direito Processual Penal     correta=C | media
  [67/80] Direito Processual Penal     correta=B | media
  [68/80] Direito Processual Penal     correta=C | media
  [69/80] Direito Processual Penal     correta=A | media
  [70/80] Direito do Trabalho          correta=C | media
  [71/80] Direito do Trabalho          correta=C | facil
  [72/80] Direito do Trabalho          correta=D | facil
  [73/80] Direito do Trabalho          correta=C | media
  [74/80] Direito do Trabalho          correta=D | facil
  [75/80] Direito do Trabalho          correta=D | media
  [76/80] Direito Processual do Trabal correta=A | media
  [77/80] Direito Processual do Trabal correta=B | facil
  [78/80] Direito Processual do Trabal correta=C | facil
  [79/80] Direito Processual do Trabal correta=B | facil
  [80/80] Direito Processual do Trabal correta=D | media

-------------------------------------------------------
  OAB-XXX  (id_prova=661)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=C | media
  [ 2/80] Etica Profissional           correta=B | facil
  [ 3/80] Etica Profissional           correta=B | media
  [ 4/80] Etica Profissional           correta=C | media
  [ 5/80] Etica Profissional           correta=D | facil
  [ 6/80] Etica Profissional           correta=A | dificil
  [ 7/80] Etica Profissional           correta=A | media
  [ 8/80] Etica Profissional           correta=B | dificil
  [ 9/80] Filosofia do Direito         correta=A | media
  [10/80] Filosofia do Direito         correta=A | media
  [11/80] Direito Constitucional       correta=D | media
  [12/80] Direito Constitucional       correta=B | media
  [13/80] Direito Constitucional       correta=D | facil
  [14/80] Direito Constitucional       correta=A | media
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=B | media
  [17/80] Direito Constitucional       correta=C | media
  [18/80] Direitos Humanos             correta=D | facil
  [19/80] Direitos Humanos             correta=C | facil
  [20/80] Direito Internacional        [sem gabarito] | media
  [21/80] Direito Internacional        correta=C | media
  [22/80] Questo 22 - Direito Tributri correta=D | media
  [23/80] Questo 23 - Direito Tributri correta=A | dificil
  [24/80] Questo 24 - Direito Tributri correta=B | dificil
  [25/80] Questo 25 - Direito Tributri correta=D | dificil
  [26/80] Questo 26 - Direito Tributri correta=C | dificil
  [27/80] Direito Administrativo       correta=A | facil
  [28/80] Direito Administrativo       correta=D | dificil
  [29/80] Direito Administrativo       correta=C | dificil
  [30/80] Direito Administrativo       [sem gabarito] | media
  [31/80] Direito Administrativo       correta=C | media
  [32/80] Direito Administrativo       correta=D | facil
  [33/80] Direito Ambiental            correta=A | media
  [34/80] Direito Ambiental            correta=B | media
  [35/80] Direito Civil                correta=A | media
  [36/80] Direito Civil                correta=D | dificil
  [37/80] Direito Civil                correta=B | facil
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=A | facil
  [40/80] Direito Civil                correta=C | media
  [41/80] Direito Civil                correta=B | dificil
  [42/80] Questo 42 - Estatuto da Cria correta=B | facil
  [43/80] Questo 43 - Estatuto da Cria correta=A | facil
  [44/80] Direito do Consumidor        correta=D | facil
  [45/80] Direito do Consumidor        correta=D | media
  [46/80] Direito Empresarial          correta=B | facil
  [47/80] Direito Empresarial          correta=B | dificil
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=C | media
  [50/80] Direito Empresarial          correta=A | media
  [51/80] Direito Processual Civil     correta=C | facil
  [52/80] Direito Processual Civil     correta=D | facil
  [53/80] Direito Processual Civil     correta=A | media
  [54/80] Direito Processual Civil     correta=C | facil
  [55/80] Direito Processual Civil     correta=C | media
  [56/80] Direito Processual Civil     correta=D | dificil
  [57/80] Direito Processual Civil     [sem gabarito] | media
  [58/80] Direito Penal                correta=D | media
  [59/80] Direito Penal                correta=B | facil
  [60/80] Direito Penal                correta=C | media
  [61/80] Direito Penal                correta=B | media
  [62/80] Direito Penal                correta=C | media
  [63/80] Direito Penal                correta=A | media
  [64/80] Direito Processual Penal     correta=A | facil
  [65/80] Direito Processual Penal     correta=C | media
  [66/80] Direito Processual Penal     correta=D | media
  [67/80] Direito Processual Penal     correta=B | dificil
  [68/80] Direito Processual Penal     correta=D | media
  [69/80] Direito Processual Penal     correta=D | dificil
  [70/80] Direito do Trabalho          correta=B | facil
  [71/80] Direito do Trabalho          correta=A | facil
  [72/80] Direito do Trabalho          correta=D | facil
  [73/80] Direito do Trabalho          correta=A | media
  [74/80] Direito do Trabalho          correta=B | facil
  [75/80] Direito do Trabalho          correta=A | media
  [76/80] Direito Processual do Trabal correta=C | facil
  [77/80] Direito Processual do Trabal correta=B | media
  [78/80] Direito Processual do Trabal correta=A | facil
  [79/80] Direito Processual do Trabal correta=B | facil
  [80/80] Direito Processual do Trabal correta=C | media

-------------------------------------------------------
  OAB-XXXI  (id_prova=662)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | media
  [ 2/80] Etica Profissional           correta=B | media
  [ 3/80] Etica Profissional           correta=B | facil
  [ 4/80] Etica Profissional           correta=D | media
  [ 5/80] Etica Profissional           correta=A | facil
  [ 6/80] Etica Profissional           correta=B | media
  [ 7/80] Etica Profissional           correta=D | facil
  [ 8/80] Etica Profissional           correta=B | media
  [ 9/80] Filosofia do Direito         correta=A | media
  [10/80] Filosofia do Direito         correta=A | media
  [11/80] Direito Constitucional       correta=B | facil
  [12/80] Direito Constitucional       correta=A | facil
  [13/80] Direito Constitucional       correta=B | media
  [14/80] Direito Constitucional       correta=D | facil
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=C | facil
  [17/80] Direito Constitucional       correta=A | media
  [18/80] Direitos Humanos             correta=A | media
  [19/80] Direitos Humanos             correta=D | facil
  [20/80] Direito Internacional        correta=C | facil
  [21/80] Direito Internacional        correta=D | media
  [22/80] Questo 22 - Direito Tributri correta=D | facil
  [23/80] Questo 23 - Direito Tributri correta=B | dificil
  [24/80] Questo 24 - Direito Tributri correta=D | media
  [25/80] Questo 25 - Direito Tributri correta=B | media
  [26/80] Questo 26 - Direito Tributri correta=B | media
  [27/80] Direito Administrativo       correta=A | facil
  [28/80] Direito Administrativo       correta=D | media
  [29/80] Direito Administrativo       correta=A | dificil
  [30/80] Direito Administrativo       correta=D | media
  [31/80] Direito Administrativo       correta=B | media
  [32/80] Direito Administrativo       correta=A | facil
  [33/80] Direito Ambiental            correta=D | media
  [34/80] Direito Ambiental            correta=D | media
  [35/80] Direito Civil                correta=A | dificil
  [36/80] Direito Civil                correta=C | facil
  [37/80] Direito Civil                correta=B | media
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=C | facil
  [40/80] Direito Civil                correta=D | facil
  [41/80] Direito Civil                correta=C | facil
  [42/80] Questo 42 - Estatuto da Cria correta=C | media
  [43/80] Questo 43 - Estatuto da Cria correta=D | facil
  [44/80] Direito do Consumidor        correta=A | facil
  [45/80] Direito do Consumidor        correta=B | facil
  [46/80] Direito Empresarial          correta=A | dificil
  [47/80] Direito Empresarial          correta=C | media
  [48/80] Direito Empresarial          correta=D | dificil
  [49/80] Direito Empresarial          correta=A | media
  [50/80] Direito Empresarial          correta=A | media
  [51/80] Direito Processual Civil     correta=B | media
  [52/80] Direito Processual Civil     correta=D | dificil
  [53/80] Direito Processual Civil     correta=D | media
  [54/80] Direito Processual Civil     correta=C | media
  [55/80] Direito Processual Civil     correta=C | facil
  [56/80] Direito Processual Civil     correta=B | dificil
  [57/80] Direito Processual Civil     correta=B | media
  [58/80] Direito Penal                correta=A | dificil
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=C | dificil
  [61/80] Direito Penal                correta=C | media
  [62/80] Direito Penal                correta=C | media
  [63/80] Direito Penal                correta=C | media
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=B | media
  [66/80] Direito Processual Penal     correta=C | media
  [67/80] Direito Processual Penal     correta=C | dificil
  [68/80] Direito Processual Penal     correta=D | media
  [69/80] Direito Processual Penal     correta=A | media
  [70/80] Direito do Trabalho          correta=B | media
  [71/80] Direito do Trabalho          correta=A | media
  [72/80] Direito do Trabalho          correta=C | media
  [73/80] Direito do Trabalho          correta=B | media
  [74/80] Direito do Trabalho          correta=A | facil
  [75/80] Direito do Trabalho          correta=A | facil
  [76/80] Direito Processual do Trabal correta=B | facil
  [77/80] Direito Processual do Trabal correta=B | facil
  [78/80] Direito Processual do Trabal correta=C | media
  [79/80] Direito Processual do Trabal correta=B | media
  [80/80] Direito Processual do Trabal correta=D | media

-------------------------------------------------------
  OAB-XXXII  (id_prova=673)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=C | facil
  [ 2/80] Etica Profissional           correta=B | facil
  [ 3/80] Etica Profissional           [sem gabarito] | media
  [ 4/80] Etica Profissional           correta=B | dificil
  [ 5/80] Etica Profissional           correta=B | facil
  [ 6/80] Etica Profissional           correta=B | facil
  [ 7/80] Etica Profissional           correta=D | media
  [ 8/80] Etica Profissional           correta=A | media
  [ 9/80] Filosofia do Direito         correta=D | media
  [10/80] Filosofia do Direito         correta=D | dificil
  [11/80] Direito Constitucional       correta=B | media
  [12/80] Direito Constitucional       correta=C | facil
  [13/80] Direito Constitucional       correta=B | facil
  [14/80] Direito Constitucional       correta=D | media
  [15/80] Direito Constitucional       correta=A | media
  [16/80] Direito Constitucional       correta=D | dificil
  [17/80] Direito Constitucional       correta=B | media
  [18/80] Direitos Humanos             correta=B | media
  [19/80] Direitos Humanos             correta=A | dificil
  [20/80] Direito Internacional        correta=D | media
  [21/80] Direito Internacional        correta=A | media
  [22/80] Questo 22 - Direito Tributri correta=B | facil
  [23/80] Questo 23 - Direito Tributri correta=C | dificil
  [24/80] Questo 24 - Direito Tributri correta=D | facil
  [25/80] Questo 25 - Direito Tributri correta=B | dificil
  [26/80] Questo 26 - Direito Tributri correta=B | dificil
  [27/80] Direito Administrativo       correta=C | media
  [28/80] Direito Administrativo       correta=D | dificil
  [29/80] Direito Administrativo       correta=C | media
  [30/80] Direito Administrativo       correta=A | dificil
  [31/80] Direito Administrativo       correta=D | dificil
  [32/80] Direito Administrativo       correta=C | facil
  [33/80] Direito Ambiental            correta=A | media
  [34/80] Direito Ambiental            correta=D | media
  [35/80] Direito Civil                correta=C | facil
  [36/80] Direito Civil                correta=C | media
  [37/80] Direito Civil                correta=A | media
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=A | facil
  [40/80] Direito Civil                correta=C | dificil
  [41/80] Direito Civil                correta=A | facil
  [42/80] Questo 42 - Estatuto da Cria correta=A | media
  [43/80] Questo 43 - Estatuto da Cria correta=B | media
  [44/80] Direito do Consumidor        correta=C | dificil
  [45/80] Direito do Consumidor        [sem gabarito] | media
  [46/80] Direito Empresarial          correta=A | media
  [47/80] Direito Empresarial          correta=B | dificil
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=C | facil
  [50/80] Direito Empresarial          correta=C | media
  [51/80] Direito Processual Civil     correta=B | dificil
  [52/80] Direito Processual Civil     correta=C | media
  [53/80] Direito Processual Civil     correta=C | media
  [54/80] Direito Processual Civil     correta=A | media
  [55/80] Direito Processual Civil     [sem gabarito] | media
  [56/80] Direito Processual Civil     correta=A | media
  [57/80] Direito Processual Civil     correta=D | facil
  [58/80] Direito Penal                correta=C | dificil
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=C | dificil
  [61/80] Direito Penal                [sem gabarito] | media
  [62/80] Direito Penal                correta=B | media
  [63/80] Direito Penal                correta=A | media
  [64/80] Direito Processual Penal     correta=B | media
  [65/80] Direito Processual Penal     correta=D | media
  [66/80] Direito Processual Penal     correta=C | dificil
  [67/80] Direito Processual Penal     correta=D | media
  [68/80] Direito Processual Penal     correta=D | media
  [69/80] Direito Processual Penal     correta=A | dificil
  [70/80] Direito do Trabalho          correta=A | media
  [71/80] Direito do Trabalho          correta=C | media
  [72/80] Direito do Trabalho          correta=C | facil
  [73/80] Direito do Trabalho          correta=B | facil
  [74/80] Direito do Trabalho          [sem gabarito] | media
  [75/80] Direito do Trabalho          correta=A | dificil
  [76/80] Direito Processual do Trabal correta=B | media
  [77/80] Direito Processual do Trabal correta=B | dificil
  [78/80] Direito Processual do Trabal correta=B | media
  [79/80] Direito Processual do Trabal correta=B | media
  [80/80] Direito Processual do Trabal correta=A | media

-------------------------------------------------------
  OAB-XXXIII  (id_prova=674)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | facil
  [ 2/80] Etica Profissional           correta=D | facil
  [ 3/80] Etica Profissional           correta=D | facil
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=B | facil
  [ 6/80] Etica Profissional           correta=C | media
  [ 7/80] Etica Profissional           correta=A | media
  [ 8/80] Etica Profissional           correta=C | facil
  [ 9/80] Filosofia do Direito         correta=D | dificil
  [10/80] Filosofia do Direito         correta=C | media
  [11/80] Direito Constitucional       correta=A | media
  [12/80] Direito Constitucional       correta=A | media
  [13/80] Direito Constitucional       correta=B | facil
  [14/80] Direito Constitucional       correta=D | facil
  [15/80] Direito Constitucional       correta=C | media
  [16/80] Direito Constitucional       correta=C | media
  [17/80] Direito Constitucional       correta=D | facil
  [18/80] Direitos Humanos             correta=A | facil
  [19/80] Direitos Humanos             correta=C | facil
  [20/80] Direito Internacional        correta=C | media
  [21/80] Direito Internacional        correta=C | media
  [22/80] Questo 22 - Direito Tributri correta=B | media
  [23/80] Questo 23 - Direito Tributri correta=C | media
  [24/80] Questo 24 - Direito Tributri correta=D | media
  [25/80] Questo 25 - Direito Tributri correta=B | media
  [26/80] Questo 26 - Direito Tributri correta=A | dificil
  [27/80] Direito Administrativo       correta=A | media
  [28/80] Direito Administrativo       correta=A | media
  [29/80] Direito Administrativo       correta=C | media
  [30/80] Direito Administrativo       correta=B | media
  [31/80] Direito Administrativo       correta=B | media
  [32/80] Direito Administrativo       correta=A | facil
  [33/80] Direito Ambiental            correta=B | facil
  [34/80] Direito Ambiental            correta=B | dificil
  [35/80] Direito Civil                correta=C | facil
  [36/80] Direito Civil                correta=C | facil
  [37/80] Direito Civil                correta=A | media
  [38/80] Direito Civil                correta=C | facil
  [39/80] Direito Civil                correta=D | facil
  [40/80] Direito Civil                correta=A | facil
  [41/80] Direito Civil                correta=A | media
  [42/80] Questo 42 - Estatuto da Cria correta=C | facil
  [43/80] Questo 43 - Estatuto da Cria correta=B | dificil
  [44/80] Direito do Consumidor        correta=B | facil
  [45/80] Direito do Consumidor        correta=B | dificil
  [46/80] Direito Empresarial          correta=A | media
  [47/80] Direito Empresarial          correta=B | media
  [48/80] Direito Empresarial          correta=C | media
  [49/80] Direito Empresarial          correta=C | media
  [50/80] Direito Empresarial          correta=D | facil
  [51/80] Direito Processual Civil     correta=C | facil
  [52/80] Direito Processual Civil     correta=A | media
  [53/80] Direito Processual Civil     correta=C | facil
  [54/80] Direito Processual Civil     correta=B | dificil
  [55/80] Direito Processual Civil     correta=C | media
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Processual Civil     correta=D | media
  [58/80] Direito Penal                correta=D | dificil
  [59/80] Direito Penal                [sem gabarito] | media
  [60/80] Direito Penal                correta=D | facil
  [61/80] Direito Penal                correta=C | dificil
  [62/80] Direito Penal                correta=D | media
  [63/80] Direito Penal                correta=A | dificil
  [64/80] Direito Processual Penal     correta=B | facil
  [65/80] Direito Processual Penal     correta=A | dificil
  [66/80] Direito Processual Penal     correta=C | media
  [67/80] Direito Processual Penal     correta=D | dificil
  [68/80] Direito Processual Penal     correta=D | media
  [69/80] Direito Processual Penal     correta=C | dificil
  [70/80] Direito do Trabalho          correta=B | media
  [71/80] Direito do Trabalho          correta=D | facil
  [72/80] Direito do Trabalho          correta=A | media
  [73/80] Direito do Trabalho          correta=A | media
  [74/80] Direito do Trabalho          correta=B | media
  [75/80] Direito do Trabalho          correta=A | media
  [76/80] Direito Processual do Trabal correta=D | facil
  [77/80] Direito Processual do Trabal correta=D | facil
  [78/80] Direito Processual do Trabal correta=D | facil
  [79/80] Direito Processual do Trabal correta=A | facil
  [80/80] Direito Processual do Trabal correta=B | dificil

-------------------------------------------------------
  OAB-XXXIV  (id_prova=675)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=B | facil
  [ 2/80] Etica Profissional           correta=C | media
  [ 3/80] Etica Profissional           correta=A | facil
  [ 4/80] Etica Profissional           correta=B | dificil
  [ 5/80] Etica Profissional           correta=D | media
  [ 6/80] Etica Profissional           correta=A | media
  [ 7/80] Etica Profissional           correta=C | dificil
  [ 8/80] Etica Profissional           correta=B | dificil
  [ 9/80] Filosofia do Direito         correta=D | media
  [10/80] Filosofia do Direito         correta=C | facil
  [11/80] Direito Constitucional       correta=A | facil
  [12/80] Direito Constitucional       correta=D | dificil
  [13/80] Direito Constitucional       correta=B | media
  [14/80] Direito Constitucional       correta=A | media
  [15/80] Direito Constitucional       correta=D | media
  [16/80] Direito Constitucional       correta=A | facil
  [17/80] Direito Constitucional       correta=D | facil
  [18/80] Direitos Humanos             correta=C | dificil
  [19/80] Direitos Humanos             correta=D | media
  [20/80] Direito Internacional        correta=B | facil
  [21/80] Direito Internacional        correta=B | facil
  [22/80] Questo 22 - Direito Tributri correta=D | dificil
  [23/80] Questo 23 - Direito Tributri correta=D | facil
  [24/80] Questo 24 - Direito Tributri correta=B | media
  [25/80] Questo 25 - Direito Tributri correta=A | dificil
  [26/80] Questo 26 - Direito Tributri correta=D | media
  [27/80] Direito Administrativo       correta=C | facil
  [28/80] Direito Administrativo       correta=D | media
  [29/80] Direito Administrativo       correta=C | dificil
  [30/80] Direito Administrativo       correta=C | facil
  [31/80] Direito Administrativo       correta=A | media
  [32/80] Direito Administrativo       correta=B | media
  [33/80] Direito Ambiental            correta=D | media
  [34/80] Direito Ambiental            correta=B | media
  [35/80] Direito Civil                correta=C | media
  [36/80] Direito Civil                correta=A | dificil
  [37/80] Direito Civil                correta=B | facil
  [38/80] Direito Civil                correta=B | media
  [39/80] Direito Civil                correta=B | media
  [40/80] Direito Civil                correta=B | dificil
  [41/80] Direito Civil                correta=B | facil
  [42/80] Questo 42 - Estatuto da Cria correta=A | facil
  [43/80] Questo 43 - Estatuto da Cria correta=C | facil
  [44/80] Direito do Consumidor        correta=A | media
  [45/80] Direito do Consumidor        correta=C | media
  [46/80] Direito Empresarial          correta=B | media
  [47/80] Direito Empresarial          correta=D | media
  [48/80] Direito Empresarial          correta=C | dificil
  [49/80] Direito Empresarial          correta=C | media
  [50/80] Direito Empresarial          correta=C | dificil
  [51/80] Direito Processual Civil     correta=B | facil
  [52/80] Direito Processual Civil     correta=C | media
  [53/80] Direito Processual Civil     correta=B | media
  [54/80] Direito Processual Civil     correta=D | media
  [55/80] Direito Processual Civil     correta=A | media
  [56/80] Direito Processual Civil     correta=A | media
  [57/80] Direito Processual Civil     correta=A | dificil
  [58/80] Direito Penal                correta=B | media
  [59/80] Direito Penal                correta=B | dificil
  [60/80] Direito Penal                correta=A | media
  [61/80] Direito Penal                correta=A | media
  [62/80] Direito Penal                correta=D | media
  [63/80] Direito Penal                [sem gabarito] | media
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=D | media
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=C | facil
  [68/80] Direito Processual Penal     correta=C | facil
  [69/80] Direito Processual Penal     correta=C | media
  [70/80] Direito do Trabalho          correta=B | facil
  [71/80] Direito do Trabalho          correta=C | media
  [72/80] Direito do Trabalho          correta=B | media
  [73/80] Direito do Trabalho          correta=A | media
  [74/80] Direito do Trabalho          correta=D | facil
  [75/80] Direito do Trabalho          correta=B | media
  [76/80] Direito Processual do Trabal correta=D | facil
  [77/80] Direito Processual do Trabal correta=D | facil
  [78/80] Direito Processual do Trabal correta=A | media
  [79/80] Direito Processual do Trabal correta=A | facil
  [80/80] Direito Processual do Trabal correta=D | facil

-------------------------------------------------------
  OAB-XXXV  (id_prova=676)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=C | media
  [ 2/80] Etica Profissional           correta=D | media
  [ 3/80] Etica Profissional           correta=B | facil
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=C | facil
  [ 6/80] Etica Profissional           correta=C | facil
  [ 7/80] Etica Profissional           correta=B | facil
  [ 8/80] Etica Profissional           correta=A | media
  [ 9/80] Filosofia do Direito         correta=B | facil
  [10/80] Filosofia do Direito         correta=B | media
  [11/80] Direito Constitucional       correta=B | facil
  [12/80] Direito Constitucional       correta=B | media
  [13/80] Direito Constitucional       correta=B | media
  [14/80] Direito Constitucional       correta=D | facil
  [15/80] Direito Constitucional       correta=C | media
  [16/80] Direito Constitucional       correta=A | facil
  [17/80] Direito Constitucional       correta=B | media
  [18/80] Direitos Humanos             correta=C | dificil
  [19/80] Direitos Humanos             correta=B | media
  [20/80] Direito Internacional        correta=B | dificil
  [21/80] Direito Internacional        correta=C | media
  [22/80] Questo 22 - Direito Tributri correta=C | media
  [23/80] Questo 23 - Direito Tributri correta=B | facil
  [24/80] Questo 24 - Direito Tributri correta=C | media
  [25/80] Questo 25 - Direito Tributri correta=C | media
  [26/80] Questo 26 - Direito Tributri correta=A | media
  [27/80] Direito Administrativo       correta=B | media
  [28/80] Direito Administrativo       correta=A | media
  [29/80] Direito Administrativo       correta=A | media
